Waterbody,Town,Advisory Posted,Advisory Lifted
Pleasure Lake,Providence,8/21/2018,11/7/2018
Georgiaville Pond,Smithfield,8/17/2018,9/21/2018
Blackamore Pond,Cranston,8/10/2018,11/7/2018
Edgewood Lake,Providence,8/10/2018,11/7/2018
Japanese Gardens,Providence,8/10/2018,12/8/2018
Willow Lake,Providence,8/10/2018,11/7/2018
Slack Reservoir,Smithfield-Johnston,7/31/2018,11/7/2018
Mashapaug Pond,Providence,7/25/2018,12/8/2018
Roosevelt Lake ,Providence,7/25/2018,12/8/2018
Central Pond,East Providence,7/16/2018,11/7/2018
Omega Pond,East Providence,7/16/2018,11/7/2018
Ten Mile River,East Providence,7/16/2018,11/7/2018
Turner Reservoir,East Providence,7/13/2018,11/7/2018
Almy Pond,Newport,6/27/2018,12/8/2018
Melville Ponds,Portsmouth,6/27/2018,12/8/2018
Sisson Pond,Portsmouth,6/8/2018,12/8/2018
J. L Curran Reservoir,Cranston,9/27/2017,12/1/2017
Pleasure Lake,Providence,9/27/2017,11/2/2017
Stafford Pond,Tiverton,9/27/2017,11/2/2017
Mashapaug Pond,Providence,9/12/2017,11/2/2017
Slack Reservoir,Smithfield-Johnston,8/31/2017,12/1/2017
Lawton Valley Reservoir,Portsmouth,8/29/2017,11/2/2017
Pleasure Lake,Providence,8/18/2017,9/12/2017
Roger Williams Park Ponds,Providence,8/18/2017,12/29/2017
Warwick Pond,Warwick,8/18/2017,11/2/2017
Sisson Pond,Portsmouth,8/4/2017,11/2/2017
Turner Reservoir,Rumford,8/2/2017,11/2/2017
Blackamore Pond,Cranston,7/31/2017,12/29/2017
Spectacle Pond,Cranston,7/24/2017,12/29/2017
Almy Pond,Newport,7/21/2017,12/29/2017
Slack Reservoir,Smithfield-Johnston,7/14/2017,8/18/2017
Elm Lake (RWP),Providence,7/7/2017,12/29/2017
Japanese Gardens (RWP),Providence,7/7/2017,12/29/2017
Roosevelt Lake (RWP),Providence,7/7/2017,12/29/2017
St. Mary's Pond,Portsmouth,7/7/2017,11/2/2017
Melville Ponds,Portsmouth,7/5/2017,12/1/2017
RWP-Cunliff Lake,Providence,9/30/2016,11/16/2016
RWP-Elm Lake,Providence,9/30/2016,11/16/2016
RWP-Japanese Gardens,Providence,9/30/2016,12/15/2016
Mashapaug Pond,Providence,9/16/2016,12/15/2016
South Easton Pond,Middletown,9/12/2016,11/16/2016
St. Mary's,Portsmouth,9/12/2016,12/15/2016
Warwick Pond,Warwick,8/25/2016,11/16/2016
Lawton Valley Reservoir,Portsmouth,8/19/2016,12/15/2016
North Easton Pond,Middletown,8/19/2016,11/16/2016
Watson Reservoir,Little Compton,8/19/2016,12/15/2016
Sisson Pond,Portsmouth,7/20/2016,12/15/2016
Melville Ponds,Portsmouth,7/19/2016,12/15/2016
Paradise Pond,Middletown,7/19/2016,12/15/2016
Scott Pond,Lincoln,4/16/2016,6/21/2016
North Easton Pond,Middletown,10/29/2015,12/2/2015
South Easton Pond,Middletown,9/3/2015,12/2/2015
St. Mary's Pond,Portsmouth,9/3/2015,12/2/2015
Watson Reservoir,Little Compton,9/3/2015,12/2/2015
Warwick Pond,Warwick,8/18/2015,10/29/2015
Lawton Valley Reservoir,Portsmouth,8/7/2015,12/2/2015
Sisson Pond,Portsmouth,8/7/2015,12/2/2015
Blackamore Pond,Cranston,7/23/2015,10/29/2015
Paradise Pond,Middletown,7/23/2015,12/2/2015
Melville Ponds,Portsmouth,6/30/2015,10/29/2015
Blackamore Pond,Cranston,10/9/2014,11/1/2014
Omega Pond,East Providence,9/24/2014,11/1/2014
Spectacle Pond,Cranston,9/24/2014,11/1/2014
Ten Mile River,East Providence,9/24/2014,11/1/2014
Mashapaug Pond,Providence,9/11/2014,
Turner Reservoir,East Providence,9/9/2014,11/1/2014
J.L. Curran Reservoir,Cranston,8/27/2014,11/1/2014
J.L. Curran Reservoir,Cranston,9/27/2013,11/2/2013
Melville Ponds,Portsmouth,9/27/2013,11/2/2013
Mashapaug Pond,Providence,7/30/2013,11/2/2013
Roger Williams Park Ponds,Providence,7/30/2013,11/2/2013
Slack Reservoir,Smithfield-Johnston,9/24/2012,11/1/2012
Watson Reservoir,Little Compton,9/21/2012,11/1/2012
Blackamore Pond,Cranston,9/14/2012,11/1/2012
Scott Pond,Lincoln,9/14/2012,11/1/2012
Barber Pond,South Kingstown,9/5/2012,11/1/2012
J.L. Curran Reservoir,Cranston,9/5/2012,11/1/2012
Pasquisset Pond,Charlestown,9/5/2012,11/1/2012
Roger Williams Park Ponds,Providence,9/5/2012,11/1/2012
Almy Pond,Newport,8/28/2012,11/1/2012
Mashapaug Pond,Providence,8/15/2012,11/1/2012
Sisson Pond,Portsmouth,8/15/2012,8/28/2012
Melville Ponds,Portsmouth,7/23/2012,11/1/2012
Bailey Brook,Middletown,6/22/2012,11/1/2012
Easton Pond North,Middletown,6/22/2012,8/28/2012
Easton Pond South,Middletown,6/22/2012,8/28/2012
Gardiner Pond,Middletown,6/22/2012,11/1/2012
Paradise Pond,Middletown,6/22/2012,8/28/2012
St. Marys Pond,Portsmouth,6/22/2012,8/28/2012
Watson Pond,Little Compton,6/22/2012,8/28/2012
Slack Reservoir,Smithfield-Johnston,9/27/2011,11/1/2011
J.L. Curran Reservoir (2),Cranston,9/23/2011,11/1/2011
Mashapaug Pond,Providence,9/23/2011,11/1/2011
Roger Williams Park Ponds,Providence,9/23/2011,11/1/2011
Slater Memorial Park Pond,Pawtucket,9/23/2011,11/1/2011
Spectacle Pond,Cranston,9/23/2011,11/1/2011
