Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location,Unnamed: 18
WW145,5/27/2012,10:30,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",4.0,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Stafford Pond,
WW145,5/27/2012,10:30,,,,"Depth to bottom from water surface at sampling location, meters - 82903",7.2,m,,0.1,m,0.1,m,,,,Stafford Pond,
WW145,5/27/2012,10:30,Grab,Water,7.0,Dissolved Oxygen - 00300,5.4,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond,
WW145,5/27/2012,10:30,Grab,Water,1.0,Dissolved Oxygen - 00300,8.4,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond,
WW145,5/27/2012,10:30,,,,Secchi Depth - 00069,4.05,m,,0.1,m,0.1,m,,,,Stafford Pond,
WW145,5/27/2012,10:30,Grab,Water,7.0,Temperature - 00011,18.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond,
WW145,5/27/2012,10:30,Grab,Water,0.2,Temperature - 00011,22.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond,
WW145,5/27/2012,10:30,Grab,Water,1.0,Temperature - 00011,22.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond,
WW145,6/3/2012,10:30,,,,"Depth to bottom from water surface at sampling location, meters - 82903",7.0,m,,0.1,m,0.1,m,,,,Stafford Pond,
WW145,6/3/2012,10:30,,,,Secchi Depth - 00069,4.2,m,,0.1,m,0.1,m,,,,Stafford Pond,
WW145,6/3/2012,10:30,Grab,Water,7.0,Temperature - 00011,19.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond,
WW145,6/3/2012,10:30,Grab,Water,0.2,Temperature - 00011,21.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond,
WW145,6/3/2012,10:30,Grab,Water,1.0,Temperature - 00011,21.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond,
WW145,6/10/2012,10:30,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",6.1,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Stafford Pond,
WW145,6/10/2012,10:30,,,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,,Stafford Pond,
WW145,6/10/2012,10:30,Grab,Water,6.5,Dissolved Oxygen - 00300,6.5,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond,
WW145,6/10/2012,10:30,Grab,Water,1.0,Dissolved Oxygen - 00300,8.6,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond,
WW145,6/10/2012,10:30,,,,Secchi Depth - 00069,3.98,m,,0.1,m,0.1,m,,,,Stafford Pond,
WW145,6/10/2012,10:30,Grab,Water,6.5,Temperature - 00011,19.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond,
