Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW199,05/15/2014,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",61.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Almy Pond
WW145,05/17/2014,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Stafford Pond
WW145,05/17/2014,11:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",7.0,m,,0.1,m,0.1,m,,,Normal,Stafford Pond
WW145,07/13/2014,11:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,Normal,Stafford Pond
WW199,07/14/2014,1:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.25,m,,0.1,m,0.1,m,,,Lower than normal lake level,Almy Pond
WW199,07/17/2014,12:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.3,m,,0.1,m,0.1,m,,,Normal lake level,Almy Pond
WW145,07/19/2014,8:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,Lower than normal,Stafford Pond
WW145,07/27/2014,10:15:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,Lower than normal,Stafford Pond
WW199,08/06/2014,2:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.2,m,,0.1,m,0.1,m,,,Lower than normal lake level,Almy Pond
WW145,08/09/2014,10:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.2,m,,0.1,m,0.1,m,,,Lower than normal,Stafford Pond
WW145,09/07/2014,10:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.2,m,,0.1,m,0.1,m,,,Lower than normal,Stafford Pond
WW199,09/07/2014,4:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.15,m,,0.1,m,0.1,m,,,Lower than normal lake level,Almy Pond
WW145,09/20/2014,9:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.1,m,,0.1,m,0.1,m,,,Lower than normal,Stafford Pond
WW145,09/20/2014,,Grab,Water,0.5,Enterococci - 31639,0.1,MPN/100ml,U,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,100 ml @ Stone Bridge  = 1/- (1),Stafford Pond
WW199,09/27/2014,1:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.1,m,,0.1,m,0.1,m,,,Lower than normal lake level,Almy Pond
WW145,09/28/2014,11:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.0,m,,0.1,m,0.1,m,,,Lower than normal,Stafford Pond
WW145,10/05/2014,11:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.0,m,,0.1,m,0.1,m,,,Lower than normal,Stafford Pond
WW199,05/15/2014,,Grab,Water,1.0,Alkalinity - 00410,49.54,mg/L,,0.0,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,Almy Pond
WW199,05/15/2014,,Grab,Water ,1.0,Chloride - 00940,96.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Almy Pond
WW199,05/15/2014,1:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.3,m,,0.1,m,0.1,m,,,,Almy Pond
WW199,05/15/2014,,Grab,Water,0.4,Enterococci - 31639,10.0,MPN/100ml,,10.0,MPN/100ml,10.0,MPN/100ml,URIWW,,,Almy Pond
WW199,05/15/2014,,Grab,Water ,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Almy Pond
WW199,05/15/2014,,Grab,Water ,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Almy Pond
WW199,05/15/2014,,Grab,Water ,1.0,"Nitrogen, Total (unfiltered) - 00600",1.425,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,Almy Pond
WW199,05/15/2014,,Grab,Water,1.0,pH - 00400,7.6,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,Almy Pond
WW199,05/15/2014,,Grab,Water ,1.0,"Phosphorus, Dissolved - 00666",6.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Almy Pond
WW199,05/15/2014,,Grab,Water ,1.0,"Phosphorus, Total - 00665",104.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Almy Pond
WW199,05/15/2014,1:30:00 PM,Composite,Water,,Secchi Depth - 00069,0.3625,m,,0.1,m,0.1,m,,,,Almy Pond
WW199,05/15/2014,1:30:00 PM,Grab,Water,1.0,Temperature - 00011,19.7,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Almy Pond
WW199,05/15/2014,1:30:00 PM,Grab,Water,0.1,Temperature - 00011,21.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Almy Pond
WW145,05/17/2014,,Grab,Water,1.0,Alkalinity - 00410,5.23,mg/L,,0.0,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,Stafford Pond
WW145,05/17/2014,,Replicate,Water,1.0,Alkalinity - 00410,5.33,mg/L,,0.0,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,7.0,Chloride - 00940,24.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,1.0,Chloride - 00940,49.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Stafford Pond
WW145,05/17/2014,11:00:00 AM,Grab,Water,7.0,Dissolved Oxygen - 00300,8.6,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond
WW145,05/17/2014,11:00:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,8.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond
WW145,05/17/2014,,Grab,Water,0.5,Enterococci - 31639,0.1,MPN/100ml,U,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.045,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,7.0,"Nitrate + Nitrite, Dissolved - 00631",0.045,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,7.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.06,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,1.0,"Nitrogen, Total (unfiltered) - 00600",0.485,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,7.0,"Nitrogen, Total (unfiltered) - 00600",0.49,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,Stafford Pond
WW145,05/17/2014,,Grab,Water,1.0,pH - 00400,6.5,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,Stafford Pond
WW145,05/17/2014,,Replicate,Water,1.0,pH - 00400,6.6,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,Stafford Pond
WW145,05/17/2014,,Grab,Water,7.0,pH - 00400,6.9,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,1.0,"Phosphorus, Dissolved - 00666",4.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,7.0,"Phosphorus, Dissolved - 00666",4.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,1.0,"Phosphorus, Total - 00665",15.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Stafford Pond
WW145,05/17/2014,,Grab,Water ,7.0,"Phosphorus, Total - 00665",16.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Stafford Pond
WW145,05/17/2014,11:00:00 AM,Composite,Water,,Secchi Depth - 00069,4.25,m,,0.1,m,0.1,m,,,,Stafford Pond
WW145,05/17/2014,11:00:00 AM,Grab,Water,7.0,Temperature - 00011,18.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond
WW145,05/17/2014,11:00:00 AM,Grab,Water,0.1,Temperature - 00011,19.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond
WW145,05/17/2014,11:00:00 AM,Grab,Water,1.0,Temperature - 00011,19.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond
